Creative_Type,Director,Distributor,IMDB_Rating,IMDB_Votes,MPAA_Rating,Major_Genre,Production_Budget,Release_Date,Rotten_Tomatoes_Rating,Running_Time_min,Source,Title,US_DVD_Sales,US_Gross,Worldwide_Gross
,,,,,,,100000.0,17-Sep-20,,,,Over the Hill to the Poorhouse,,3000000.0,3000000.0
,,,7.0,451.0,,,5200000.0,1-Aug-44,,,,Wilson,,2000000.0,2000000.0
,Blake Edwards,,6.1,858.0,,,22000000.0,1-Jan-70,,,,Darling Lili,,5000000.0,5000000.0
,,,2.5,1677.0,,,13500000.0,5-Oct-56,90.0,,,The Ten Commandments,,80000000.0,80000000.0
,Sidney Lumet,United Artists,8.9,119101.0,,Drama,340000.0,13-Apr-57,,,Original Screenplay,12 Angry Men,,0.0,0.0
Science Fiction,Terry Gilliam,Universal,8.1,169858.0,R,Drama,29000000.0,27-Dec-95,,,Based on Short Film,Twelve Monkeys,,57141459.0,168841459.0
Historical Fiction,,Sony/Columbia,7.0,4099.0,PG,Drama,4000000.0,9-Nov-72,57.0,,Based on Play,1776,,0.0,0.0
Historical Fiction,Steven Spielberg,Universal,5.6,13364.0,,Comedy,32000000.0,14-Dec-79,33.0,,Original Screenplay,1941,,34175000.0,94875000.0
,,Strand,6.3,365.0,Not Rated,Thriller/Suspense,1900000.0,29-Jun-07,,,Original Screenplay,Chacun sa nuit,,18435.0,18435.0
Science Fiction,Stanley Kubrick,,8.4,160342.0,,,10500000.0,2-Apr-68,96.0,,Original Screenplay,2001: A Space Odyssey,,56700000.0,68700000.0
,Richard Fleischer,Walt Disney Pictures,,,,Adventure,5000000.0,23-Dec-54,92.0,,Based on Book/Short Story,"20,000 Leagues Under the Sea",,28200000.0,28200000.0
,,,,,,Adventure,200000.0,24-Dec-16,,,Based on Book/Short Story,"20,000 Leagues Under the Sea",,8000000.0,8000000.0
,Shane Meadows,October Films,6.9,1417.0,R,Comedy,2000000.0,15-Apr-98,,,Original Screenplay,24 7: Twenty Four Seven,,72544.0,72544.0
Contemporary Fiction,Michael Polish,Sony Pictures Classics,7.1,2810.0,R,Drama,500000.0,30-Jul-99,77.0,,Original Screenplay,Twin Falls Idaho,,985341.0,1027228.0
Historical Fiction,,,,,R,Action,20000000.0,3-Apr-08,,,Based on Book/Short Story,Three Kingdoms: Resurrection of the Dragon,,0.0,22139590.0
Contemporary Fiction,Leonard Nimoy,Walt Disney Pictures,5.7,16764.0,,Comedy,15000000.0,25-Nov-87,,,Remake,3 Men and a Baby,,167780960.0,167780960.0
Contemporary Fiction,,Walt Disney Pictures,3.2,3107.0,PG,Action,20000000.0,6-May-94,17.0,,Original Screenplay,3 Ninjas Kick Back,,11744960.0,11744960.0
,,Vitagraph Films,6.0,873.0,R,Drama,1500000.0,28-Sep-05,,,Original Screenplay,Forty Shades of Blue,,75828.0,172569.0
,,Warner Bros.,7.7,4263.0,,Musical,439000.0,9-Mar-33,95.0,,Based on Book/Short Story,42nd Street,,2300000.0,2300000.0
Contemporary Fiction,Robert Rodriguez,Miramax,6.4,34328.0,R,Comedy,4000000.0,25-Dec-95,14.0,,Original Screenplay,Four Rooms,,4301000.0,4301000.0
Contemporary Fiction,Alan Alda,Universal,7.0,1814.0,,Comedy,6500000.0,22-May-81,71.0,,Original Screenplay,The Four Seasons,,42488161.0,42488161.0
Contemporary Fiction,Mike Newell,Gramercy,7.1,39003.0,R,Romantic Comedy,4500000.0,9-Mar-94,96.0,,Original Screenplay,Four Weddings and a Funeral,,52700832.0,242895809.0
,,Truly Indie,7.4,439.0,Not Rated,,350000.0,18-Oct-06,97.0,,,51 Birch Street,,84689.0,84689.0
,,,6.8,2104.0,,Drama,17000000.0,1963-01-01,57.0,,Original Screenplay,55 Days at Peking,,10000000.0,10000000.0
Contemporary Fiction,Adrian Lyne,MGM,5.4,12731.0,,Drama,18000000.0,21-Feb-86,,,Based on Book/Short Story,Nine 1/2 Weeks,,6734844.0,6734844.0
Fantasy,,Alliance,4.9,5620.0,Not Rated,Adventure,113500000.0,4-Jul-08,,,Based on Comic/Graphic Novel,AstÈrix aux Jeux Olympiques,,999811.0,132999811.0
Science Fiction,James Cameron,20th Century Fox,7.6,51018.0,PG-13,Action,70000000.0,9-Aug-89,88.0,,Original Screenplay,The Abyss,,54243125.0,54243125.0
Contemporary Fiction,,Lorimar Motion Pictures,4.6,3856.0,,Action,7000000.0,12-Feb-88,10.0,,Original Screenplay,Action Jackson,,20257000.0,20257000.0
Contemporary Fiction,Tom Shadyac,Warner Bros.,6.6,63543.0,PG-13,Comedy,12000000.0,4-Feb-94,49.0,,Original Screenplay,Ace Ventura: Pet Detective,,72217396.0,107217396.0
Contemporary Fiction,Steve Oedekerk,Warner Bros.,5.6,51275.0,PG-13,Comedy,30000000.0,10-Nov-95,,,Original Screenplay,Ace Ventura: When Nature Calls,,108360063.0,212400000.0
Contemporary Fiction,,Paramount Pictures,,,,Horror,5000000.0,27-Mar-86,31.0,,Original Screenplay,April Fool's Day,,12947763.0,12947763.0
,,Fox Searchlight,5.7,546.0,R,Romantic Comedy,4000000.0,26-Mar-99,,,Original Screenplay,Among Giants,,64359.0,64359.0
,,MGM,7.1,1326.0,,Musical,3768785.0,17-May-50,100.0,,Based on Book/Short Story,Annie Get Your Gun,,8000000.0,8000000.0
,,RKO Radio Pictures,6.7,63458.0,,Musical,3000000.0,28-Jul-51,20.0,,Based on Book/Short Story,Alice in Wonderland,,0.0,0.0
Fantasy,,Miramax,7.3,893.0,G,Adventure,24000000.0,25-Aug-95,,,Original Screenplay,The Princess and the Cobbler,,669276.0,669276.0
Historical Fiction,John Wayne,United Artists,5.9,10063.0,PG-13,Western,12000000.0,24-Oct-60,54.0,,Original Screenplay,The Alamo,,7900000.0,7900000.0
,,20th Century Fox,,,,Drama,2000000.0,1938-01-01,,,Original Screenplay,Alexander's Ragtime Band,,4000000.0,4000000.0
Dramatization,Frank Marshall,Walt Disney Pictures,3.2,124.0,R,Adventure,32000000.0,15-Jan-93,71.0,,Based on Book/Short Story,Alive,,36299670.0,36299670.0
,Costa-Gavras,Kino International,7.4,5416.0,Not Rated,Drama,14000000.0,24-Jan-03,,,Based on Play,Amen,,274299.0,274299.0
,George Lucas,Universal,7.6,30952.0,,Comedy,777000.0,11-Aug-73,97.0,,Original Screenplay,American Graffiti,,115000000.0,140000000.0
,Sam Firstenberg,,3.7,2495.0,,Action,350000.0,1987-01-01,,,Original Screenplay,American Ninja 2: The Confrontation,,4000000.0,4000000.0
Contemporary Fiction,Rob Reiner,Sony Pictures,6.8,22780.0,PG-13,Romantic Comedy,62000000.0,17-Nov-95,90.0,,Original Screenplay,The American President,,60022813.0,107822813.0
,Woody Allen,MGM,8.2,65406.0,,Comedy,4000000.0,20-Apr-77,98.0,,Original Screenplay,Annie Hall,,38251425.0,38251425.0
,,Sony Pictures,6.1,6266.0,Not Rated,Horror,2500000.0,8-Sep-00,,,Original Screenplay,Anatomie,,9598.0,9598.0
Historical Fiction,Stephen Sommers,Walt Disney Pictures,5.8,3095.0,PG,Adventure,6500000.0,2-Apr-93,62.0,,Based on Book/Short Story,The Adventures of Huck Finn,,24103594.0,24103594.0
,Billy Wilder,United Artists,8.4,36485.0,,Romantic Comedy,3000000.0,1960-01-01,91.0,,Original Screenplay,The Apartment,,18600000.0,24600000.0
Historical Fiction,Francis Ford Coppola,MGM,8.6,173141.0,R,Action,31500000.0,15-Aug-79,98.0,,Based on Book/Short Story,Apocalypse Now,3479242.0,78800000.0,78800000.0
Science Fiction,Frank Marshall,Walt Disney Pictures,6.2,20528.0,,Thriller/Suspense,31000000.0,18-Jul-90,85.0,,Original Screenplay,Arachnophobia,,53208180.0,53208180.0
Historical Fiction,,,6.4,6251.0,R,Action,16500000.0,25-Dec-07,,,Based on Book/Short Story,Arn - Tempelriddaren,,0.0,14900000.0
Contemporary Fiction,,The Movie Partners,5.1,77.0,PG-13,Thriller/Suspense,600000.0,19-Oct-07,,,Original Screenplay,Arnolds Park,,23616.0,23616.0
,,,5.6,1769.0,,,150000.0,1-Jan-71,,,,Sweet Sweetback's Baad Asssss Song,,15200000.0,15200000.0
,,Fox Meadow,4.4,200.0,Not Rated,Comedy,989000.0,1-Jun-07,17.0,,,And Then Came Love,,8158.0,8158.0
,,United Artists,5.6,21516.0,PG,Adventure,6000000.0,17-Oct-56,73.0,,Based on Book/Short Story,Around the World in 80 Days,,42000000.0,42000000.0
Science Fiction,,Paramount Pictures,5.7,10794.0,,Adventure,9000000.0,10-Oct-68,74.0,,Based on Comic/Graphic Novel,Barbarella,,0.0,0.0
,Stanley Kubrick,Warner Bros.,8.1,39909.0,,Drama,11000000.0,1975-01-01,94.0,,Based on Book/Short Story,Barry Lyndon,,20000000.0,20000000.0
,,,5.4,236.0,,,4000000.0,"March, 1987",,,,"Barbarians, The",,800000.0,800000.0
Contemporary Fiction,Chris Noonan,Universal,7.3,35644.0,G,Adventure,30000000.0,4-Aug-95,98.0,,Based on Book/Short Story,Babe,,63658910.0,246100000.0
Contemporary Fiction,,Wingate Distribution,,,R,Romantic Comedy,2900000.0,24-Mar-06,,104.0,Original Screenplay,Boynton Beach Club,,3127472.0,3127472.0
Contemporary Fiction,Patrick Read Johnson,20th Century Fox,5.0,8332.0,PG,Comedy,50000000.0,1-Jul-94,21.0,,Original Screenplay,Baby's Day Out,,16581575.0,16581575.0
,Taylor Hackford,Walt Disney Pictures,7.7,10142.0,,,35000000.0,16-Apr-93,,,Original Screenplay,Bound by Honor,,4496583.0,4496583.0
Contemporary Fiction,,Alliance,6.9,151.0,Not Rated,Comedy,8000000.0,4-Aug-06,67.0,,Original Screenplay,"Bon Cop, Bad Cop",,12671300.0,12671300.0
Science Fiction,Robert Zemeckis,Universal,8.4,201598.0,,Adventure,19000000.0,3-Jul-85,96.0,,Original Screenplay,Back to the Future,,210609762.0,381109762.0
Science Fiction,Robert Zemeckis,Universal,7.5,87341.0,,Adventure,40000000.0,22-Nov-89,64.0,,Original Screenplay,Back to the Future Part II,,118450002.0,332000000.0
Science Fiction,Robert Zemeckis,Universal,7.1,77541.0,,Adventure,40000000.0,24-May-90,71.0,,Original Screenplay,Back to the Future Part III,,87666629.0,243700000.0
Historical Fiction,George Roy Hill,20th Century Fox,8.2,57602.0,,Western,6000000.0,24-Oct-69,90.0,,,Butch Cassidy and the Sundance Kid,,102308900.0,102308900.0
Contemporary Fiction,Michael Bay,Sony Pictures,6.6,53929.0,R,Action,23000000.0,7-Apr-95,39.0,,Original Screenplay,Bad Boys,,65647413.0,141247413.0
Contemporary Fiction,Brian De Palma,Sony/Columbia,6.4,9738.0,,Thriller/Suspense,10000000.0,26-Oct-84,84.0,,Original Screenplay,Body Double,,8801940.0,8801940.0
,,Warner Bros.,,,,,210000.0,13-Jun-53,90.0,,Based on Book/Short Story,"The Beast from 20,000 Fathoms",,5000000.0,5000000.0
Fantasy,,New Line,3.3,1327.0,,,6000000.0,30-Aug-91,17.0,,Based on Book/Short Story,Beastmaster 2: Through the Portal of Time,,773490.0,773490.0
Fantasy,,MGM,5.7,5734.0,,Action,5000000.0,20-Aug-82,50.0,,Based on Book/Short Story,The Beastmaster,,10751126.0,10751126.0
,,MGM,8.2,58510.0,,Adventure,3900000.0,30-Dec-25,,,Based on Book/Short Story,Ben-Hur,,9000000.0,9000000.0
,William Wyler,MGM,8.2,58510.0,,Adventure,15000000.0,18-Nov-59,91.0,,Based on Book/Short Story,Ben-Hur,,73000000.0,73000000.0
,,,5.8,1801.0,,Adventure,500000.0,15-Nov-74,83.0,,Original Screenplay,Benji,,31559560.0,31559560.0
Contemporary Fiction,Richard Linklater,Sony Pictures,8.0,39705.0,R,Drama,2500000.0,27-Jan-95,100.0,,Original Screenplay,Before Sunrise,,5274005.0,5274005.0
Fantasy,Gary Trousdale,Walt Disney Pictures,3.4,354.0,G,Musical,20000000.0,13-Nov-91,93.0,,Based on Book/Short Story,Beauty and the Beast,,171340294.0,403476931.0
,William Wyler,RKO Radio Pictures,8.2,17338.0,,Drama,2100000.0,21-Nov-46,97.0,,Based on Book/Short Story,The Best Years of Our Lives,,23600000.0,23600000.0
Historical Fiction,,Embassy,,,,Western,1305000.0,19-Aug-83,,,Based on Book/Short Story,The Ballad of Gregorio Cortez,,909000.0,909000.0
Contemporary Fiction,,Big Fat Movies,3.2,1119.0,R,Comedy,3000000.0,30-Sep-05,23.0,,,My Big Fat Independent Movie,,4655.0,4655.0
Science Fiction,Jack Lee Thompson,20th Century Fox,5.0,6094.0,,,1800000.0,1973-01-01,38.0,,,Battle for the Planet of the Apes,,8800000.0,8800000.0
,,,,,,,50000.0,31-Dec-09,,,,Big Things,,0.0,0.0
Fantasy,Norman Jewison,Warner Bros.,4.8,2742.0,PG,Comedy,32000000.0,6-Sep-96,40.0,,Original Screenplay,Bogus,,4357406.0,4357406.0
Contemporary Fiction,Martin Brest,Paramount Pictures,7.3,45065.0,,Action,15000000.0,5-Dec-84,83.0,,Original Screenplay,Beverly Hills Cop,,234760478.0,316300000.0
Contemporary Fiction,Tony Scott,Paramount Pictures,6.1,29712.0,R,Action,20000000.0,20-May-87,46.0,,Original Screenplay,Beverly Hills Cop II,,153665036.0,276665036.0
Contemporary Fiction,John Landis,Paramount Pictures,5.0,21199.0,R,Action,50000000.0,25-May-94,10.0,,Original Screenplay,Beverly Hills Cop III,,42586861.0,119180938.0
Science Fiction,,Walt Disney Pictures,5.6,7810.0,,,20000000.0,21-Dec-79,42.0,,Original Screenplay,The Black Hole,,35841901.0,35841901.0
,,,6.1,1446.0,,,15000000.0,10-Jul-08,,,,Bathory,,0.0,3436763.0
Fantasy,Penny Marshall,20th Century Fox,7.2,49256.0,,Comedy,18000000.0,3-Jun-88,96.0,,Original Screenplay,Big,,114968774.0,151668774.0
,King Vidor,MGM,8.4,2600.0,,Drama,245000.0,1-Jan-25,100.0,,Based on Play,The Big Parade,,11000000.0,22000000.0
Contemporary Fiction,John Singleton,Sony Pictures,7.8,30299.0,,Drama,6500000.0,12-Jul-91,98.0,,Original Screenplay,Boyz n the Hood,,56190094.0,56190094.0
Historical Fiction,,Distributor Unknown,,,PG,Drama,2000000.0,12-Sep-03,,,Based on Book/Short Story,"The Book of Mormon Movie, Volume 1: The Journey",,1660865.0,1660865.0
,,,4.3,4632.0,,,11000000.0,1991-01-01,,,,Return to the Blue Lagoon,,2000000.0,2000000.0
Contemporary Fiction,,United Artists,6.8,11929.0,R,Drama,25000000.0,1-Apr-88,61.0,,Based on Book/Short Story,"Bright Lights, Big City",,16118077.0,16118077.0
Fantasy,George Cukor,20th Century Fox,4.9,359.0,,,1200000.0,1976-01-01,,,Based on Play,The Blue Bird,,887000.0,887000.0
Contemporary Fiction,,Alliance,6.2,817.0,PG,Drama,10400000.0,20-Feb-04,44.0,,Original Screenplay,The Blue Butterfly,,1610194.0,1610194.0
Science Fiction,Ridley Scott,Warner Bros.,8.3,185546.0,R,Thriller/Suspense,28000000.0,25-Jun-82,92.0,,Based on Book/Short Story,Blade Runner,,32656328.0,33139618.0
Contemporary Fiction,,Cannon,6.2,19816.0,,Action,1500000.0,26-Feb-88,,,Original Screenplay,Bloodsport,,11806119.0,11806119.0
Contemporary Fiction,John Landis,Universal,7.9,62941.0,,Musical,27000000.0,20-Jun-80,84.0,,Original Screenplay,The Blues Brothers,,57229890.0,57229890.0
Contemporary Fiction,Brian De Palma,Filmways Pictures,7.1,10239.0,,Thriller/Suspense,18000000.0,24-Jul-81,89.0,,Original Screenplay,Blow Out,,13747234.0,13747234.0
Contemporary Fiction,,WellSpring,7.3,7295.0,Not Rated,Drama,5500000.0,1-Jul-05,,,Original Screenplay,De battre mon coeur s'est arrÍtÈ,,1023424.0,8589831.0
,,MGM,6.7,2017.0,,Musical,379000.0,1929-01-01,38.0,,Original Screenplay,The Broadway Melody,,2800000.0,4358000.0
,,MGM,7.1,1115.0,,,2000000.0,1940-01-01,,,Original Screenplay,Boom Town,,9172000.0,9172000.0
Contemporary Fiction,Andy Wachowski,Gramercy,7.4,23564.0,R,Thriller/Suspense,4500000.0,4-Oct-96,88.0,,Original Screenplay,Bound,,3802260.0,6300000.0
Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",JeTi Films,6.3,369.0,,Thriller/Suspense,10000.0,1-Apr-96,,,Original Screenplay,Bang,,527.0,527.0
,Woody Allen,MGM,7.1,12415.0,PG-13,Comedy,2000000.0,28-Apr-71,89.0,,Original Screenplay,Bananas,,,
Fantasy,Peter Hewitt,Orion Pictures,5.8,20188.0,,Comedy,20000000.0,19-Jul-91,58.0,,Original Screenplay,Bill & Ted's Bogus Journey,,37537675.0,37537675.0
,,,7.1,8901.0,,Drama,110000.0,8-Feb-15,100.0,,Based on Book/Short Story,The Birth of a Nation,,10000000.0,11000000.0
Historical Fiction,Sam Peckinpah,Warner Bros.,7.3,3125.0,,Western,3716946.0,13-May-70,92.0,,Original Screenplay,The Ballad of Cable Hogue,,3500000.0,5000000.0
,,New Line,6.2,2523.0,,Action,7700000.0,23-Feb-90,,,Original Screenplay,The Blood of Heroes,,882290.0,882290.0
Factual,,Lifesize Entertainment,7.6,90.0,,Documentary,120000.0,30-Jun-06,71.0,,Based on Real Life Events,The Blood of My Brother: A Story of Death in Iraq,,0.0,0.0
Contemporary Fiction,,Paramount Pictures,5.9,202.0,,Comedy,42000000.0,1-Jul-92,37.0,,Original Screenplay,Boomerang,,70052444.0,131052444.0
,David Lean,Sony/Columbia,8.4,58641.0,,Drama,3000000.0,18-Dec-57,95.0,,Based on Book/Short Story,The Bridge on the River Kwai,,33300000.0,33300000.0
Dramatization,Oliver Stone,Universal,7.2,32108.0,,Drama,14000000.0,20-Dec-89,89.0,,Based on Book/Short Story,Born on the Fourth of July,,70001698.0,70001698.0
Dramatization,Julian Schnabel,Miramax,6.7,7935.0,R,Drama,3000000.0,9-Aug-96,69.0,,Based on Real Life Events,Basquiat,,2962051.0,2962051.0
Contemporary Fiction,Ridley Scott,Paramount Pictures,4.1,137.0,,Thriller/Suspense,30000000.0,22-Sep-89,57.0,,Original Screenplay,Black Rain,,45892212.0,45892212.0
,Wes Anderson,Sony Pictures,7.2,21980.0,R,Adventure,5000000.0,21-Feb-96,79.0,,Based on Short Film,Bottle Rocket,,407488.0,407488.0
,Peter Jackson,Trimark,7.6,32827.0,,Horror,3000000.0,12-Feb-93,,,Original Screenplay,Braindead,,242623.0,242623.0
Historical Fiction,Clint Eastwood,Warner Bros.,7.2,21923.0,PG-13,Drama,22000000.0,2-Jun-95,90.0,,Based on Book/Short Story,The Bridges of Madison County,,71516617.0,175516617.0
Contemporary Fiction,Edward Burns,Fox Searchlight,6.4,4365.0,R,Drama,25000.0,9-Aug-95,91.0,,Original Screenplay,The Brothers McMullen,,10426506.0,10426506.0
Fantasy,Francis Ford Coppola,Sony Pictures,6.4,136.0,R,Horror,40000000.0,13-Nov-92,,,Based on Book/Short Story,Dracula,,82522790.0,215862692.0
Contemporary Fiction,John Woo,20th Century Fox,5.8,33584.0,R,Action,65000000.0,9-Feb-96,55.0,108.0,Original Screenplay,Broken Arrow,,70645997.0,148345997.0
Science Fiction,,MGM,6.3,4410.0,,Thriller/Suspense,15000000.0,30-Sep-83,64.0,,Based on Book/Short Story,Brainstorm,,8921050.0,8921050.0
Dramatization,Mel Gibson,Paramount Pictures,8.4,240642.0,R,Drama,72000000.0,24-May-95,77.0,,Based on Real Life Events,Braveheart,,75545647.0,209000000.0
Contemporary Fiction,,,4.4,1254.0,,Comedy,42000000.0,1-Feb-06,,,,Les BronzÈs 3: amis pour la vie,,0.0,83833602.0
Fantasy,Terry Gilliam,Universal,8.0,76635.0,R,Black Comedy,15000000.0,18-Dec-85,98.0,136.0,Original Screenplay,Brazil,,9929135.0,9929135.0
,Mel Brooks,Warner Bros.,7.8,45771.0,,Comedy,2600000.0,1-Jan-74,89.0,,Original Screenplay,Blazing Saddles,,119500000.0,119500000.0
,,MGM,6.3,343.0,PG,Drama,1300000.0,5-May-00,,,Original Screenplay,The Basket,,609042.0,609042.0
,,MGM,6.2,487.0,,Musical,2361000.0,1944-01-01,,,Original Screenplay,Bathing Beauty,,3500000.0,3500000.0
Science Fiction,Stephen Herek,Orion Pictures,6.7,30341.0,,Comedy,10000000.0,17-Feb-89,81.0,,Original Screenplay,Bill & Ted's Excellent Adventure,,39916091.0,39916091.0
,Sir Richard Attenborough,MGM,7.3,16882.0,,Action,26000000.0,15-Jun-77,67.0,,Based on Book/Short Story,A Bridge Too Far,,50800000.0,50800000.0
Fantasy,Tim Burton,Warner Bros.,7.3,61197.0,,Comedy,15000000.0,30-Mar-88,,,Original Screenplay,Beetle Juice,,73326666.0,73326666.0
Super Hero,Tim Burton,Warner Bros.,6.9,78673.0,PG-13,Action,80000000.0,18-Jun-92,78.0,,Original Screenplay,Batman Returns,,162831698.0,266822354.0
Super Hero,Joel Schumacher,Warner Bros.,5.4,76218.0,PG-13,Action,100000000.0,16-Jun-95,43.0,,Original Screenplay,Batman Forever,,184031112.0,336529144.0
,,,,,,,1377800.0,21-Aug-01,,,,Batman - The Movie,,0.0,0.0
Super Hero,Tim Burton,Warner Bros.,7.6,111464.0,PG-13,Action,35000000.0,23-Jun-89,71.0,,Based on Comic/Graphic Novel,Batman,,251188924.0,411348924.0
Fantasy,,20th Century Fox,5.3,16056.0,,Horror,7000000.0,31-Jul-92,32.0,,Original Screenplay,Buffy the Vampire Slayer,,14231669.0,14231669.0
Contemporary Fiction,,Link Productions Ltd.,7.0,7129.0,Not Rated,Comedy,16000000.0,25-Jul-08,,109.0,Original Screenplay,Bienvenue chez les Ch'tis,,1470856.0,243470856.0
,,20th Century Fox,5.7,4626.0,,Comedy,1000000.0,1-Jan-70,68.0,,Original Screenplay,Beyond the Valley of the Dolls,,9000000.0,9000000.0
,,,6.4,399.0,R,Drama,600000.0,2-Jul-99,,,Original Screenplay,Broken Vessels,,15030.0,85343.0
,Franklin J. Schaffner,20th Century Fox,7.0,8741.0,,Thriller/Suspense,12000000.0,1978-01-01,65.0,,Based on Book/Short Story,The Boys from Brazil,,19000000.0,19000000.0
Contemporary Fiction,,Outrider Pictures,7.0,355.0,Not Rated,Drama,200000.0,10-May-02,,,Original Screenplay,The Business of Fancy Dancing,,174682.0,174682.0
Contemporary Fiction,Harold Ramis,Warner Bros.,7.3,35436.0,,Comedy,6000000.0,25-Jul-80,75.0,,Original Screenplay,Caddyshack,,39846344.0,39846344.0
Contemporary Fiction,Martin Scorsese,Universal,7.3,47196.0,R,Thriller/Suspense,35000000.0,15-Nov-91,76.0,,Remake,Cape Fear,,79091969.0,182291969.0
Contemporary Fiction,Phillip Noyce,Paramount Pictures,6.8,29612.0,PG-13,Action,62000000.0,3-Aug-94,78.0,,Based on Book/Short Story,Clear and Present Danger,,122012656.0,207500000.0
Contemporary Fiction,Brian De Palma,MGM,7.4,38767.0,,Horror,1800000.0,16-Nov-76,90.0,,Based on Book/Short Story,Carrie,,25878153.0,25878153.0
Contemporary Fiction,John Huston,Sony Pictures,8.0,172936.0,,Comedy,12000000.0,28-Apr-67,30.0,,Based on Book/Short Story,Casino Royale,,22744718.0,41744718.0
Contemporary Fiction,,Alliance,6.0,378.0,Not Rated,Comedy,4600000.0,16-Jul-04,,,Original Screenplay,Camping Sauvage,,3479302.0,3479302.0
Historical Fiction,Francis Ford Coppola,Orion Pictures,6.3,6940.0,,Drama,48000000.0,14-Dec-84,74.0,,Original Screenplay,The Cotton Club,,25928721.0,25928721.0
,,,7.1,153.0,,,600000.0,23-Aug-02,60.0,,,Crop Circles: Quest for Truth,,0.0,0.0
Science Fiction,Steven Spielberg,Sony Pictures,7.8,59049.0,,Adventure,20000000.0,16-Nov-77,95.0,,Original Screenplay,Close Encounters of the Third Kind,,166000000.0,337700000.0
Contemporary Fiction,Ben Stiller,Sony Pictures,5.8,51109.0,PG-13,Comedy,47000000.0,14-Jun-96,52.0,95.0,Original Screenplay,The Cable Guy,,60240295.0,102825796.0
Contemporary Fiction,,Eros Entertainment,4.6,527.0,Not Rated,Thriller/Suspense,1000000.0,16-Sep-05,,,Original Screenplay,Chocolate: Deep Dark Secrets,,49000.0,1549000.0
Fantasy,,United Artists,6.3,16165.0,,Horror,9000000.0,9-Nov-88,70.0,,Original Screenplay,Child's Play,,33244684.0,44196684.0
Fantasy,,Universal,5.1,8666.0,,Horror,13000000.0,9-Nov-90,38.0,,Original Screenplay,Child's Play 2,,26904572.0,34166572.0
Contemporary Fiction,Andrew Davis,20th Century Fox,5.2,15817.0,PG-13,Action,55000000.0,2-Aug-96,13.0,106.0,Original Screenplay,Chain Reaction,,21226204.0,60209334.0
Contemporary Fiction,,Excel Entertainment,5.8,60.0,PG,Drama,950000.0,27-Sep-02,,,Based on Book/Short Story,Charly,,814666.0,814666.0
Dramatization,Hugh Hudson,Sony Pictures,7.3,16138.0,,Drama,5500000.0,25-Sep-81,86.0,,Based on Real Life Events,Chariots of Fire,,57159946.0,57159946.0
Historical Fiction,,MGM,8.0,51757.0,PG,Comedy,3250000.0,18-Nov-83,88.0,,Based on Book/Short Story,A Christmas Story,,19294144.0,19294144.0
Contemporary Fiction,Richard Brooks,MGM,8.0,14540.0,,Drama,3000000.0,20-Sep-58,100.0,,Based on Play,Cat on a Hot Tin Roof,,17570324.0,17570324.0
Fantasy,,New World,5.0,2806.0,,Horror,1250000.0,31-Aug-84,,,Original Screenplay,C.H.U.D.,,4700000.0,4700000.0
Dramatization,Michael Curtiz,Warner Bros.,,,,Action,1200000.0,20-Oct-36,,,Based on Real Life Events,"Charge of the Light Brigade, The",,0.0,0.0
Historical Fiction,Spike Lee,Universal,6.5,3137.0,PG-13,Comedy,14000000.0,13-May-94,75.0,,Original Screenplay,Crooklyn,,13024170.0,13024170.0
