Aircraft__Airline_Operator,Aircraft__Make_Model,Airport__Name,Cost__Other,Cost__Repair,Cost__Total_$,Effect__Amount_of_damage,Flight_Date,Origin_State,Speed_IAS_in_knots,When__Phase_of_flight,When__Time_of_day,Wildlife__Size,Wildlife__Species
AMERICAN AIRLINES,MD-82,METRO OAKLAND INTL,0,0,0,None,5/10/90 0:00,California,135.0,Approach,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/10/90 0:00,Louisiana,220.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-82,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/11/90 0:00,Illinois,250.0,Climb,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727,NASHVILLE INTL,0,0,0,None,5/13/90 0:00,Tennessee,140.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/13/90 0:00,Texas,160.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,NASHVILLE INTL,0,0,0,None,5/13/90 0:00,Tennessee,160.0,Climb,Day,Small,European starling
AMERICAN AIRLINES,DC-9,MINNEAPOLIS-ST PAUL INTL,0,0,0,None,5/13/90 0:00,Minnesota,100.0,Landing Roll,Day,Small,American robin
AMERICAN AIRLINES,MD-80,PORTLAND INTL (OR),0,0,0,None,5/14/90 0:00,Oregon,200.0,Descent,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,LAMBERT-ST LOUIS INTL,0,0,0,None,5/14/90 0:00,Missouri,140.0,Approach,Night,Small,Unknown bird - small
MILITARY,KC-135E,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/15/90 0:00,Illinois,150.0,Take-off run,Day,Large,Coyote
MILITARY,C-130,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/15/90 0:00,Illinois,120.0,Climb,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/15/90 0:00,Texas,135.0,Landing Roll,Day,Medium,American crow
MILITARY,KC-135E,SALT LAKE CITY INTL,0,0,0,None,5/15/90 0:00,Utah,150.0,Landing Roll,Day,Small,Common nighthawk
ALOHA AIRLINES,B-737,HONOLULU INTL ARPT,0,0,0,None,5/16/90 0:00,Hawaii,70.0,Landing Roll,Day,Large,Unknown bird - large
SOUTHWEST AIRLINES,B-737-200,AUSTIN-BERGSTROM INTL,0,0,0,None,5/16/90 0:00,Texas,140.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/18/90 0:00,Texas,122.0,Approach,Night,Small,American robin
AMERICAN AIRLINES,MD-80,LAMBERT-ST LOUIS INTL,0,0,0,None,5/19/90 0:00,Missouri,140.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,RONALD REAGAN WASHINGTON NATL,0,0,0,None,5/20/90 0:00,DC,120.0,Approach,Night,Small,Unknown bird - small
UNITED AIRLINES,B-737-300,SACRAMENTO INTL,0,0,0,None,5/22/90 0:00,California,140.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-727-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/22/90 0:00,Illinois,140.0,Approach,Night,Small,Unknown bird - small
DELTA AIR LINES,B-767,SAN FRANCISCO INTL ARPT,0,0,0,None,5/23/90 0:00,California,150.0,Take-off run,Day,Medium,Unknown bird - medium
MILITARY,C-141B,CHARLESTON AFB/INTL ARPT,0,0,0,None,5/24/90 0:00,South Carolina,250.0,Approach,Day,Medium,Unknown bird or bat
SOUTHWEST AIRLINES,B-737-300,HOUSTON-HOBBY,0,0,0,None,5/24/90 0:00,Texas,250.0,Approach,Night,Small,Unknown bird - small
TRANS WORLD AIRLINES,L-1011,LAMBERT-ST LOUIS INTL,0,0,0,None,5/26/90 0:00,Missouri,160.0,Descent,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737,HOUSTON-HOBBY,0,0,0,None,5/26/90 0:00,Texas,,Take-off run,Day,Medium,Unknown bird - medium
EXPRESSJET (CONTINENTAL EXPRS),EMB-120,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,5/26/90 0:00,Ohio,180.0,Climb,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,NASHVILLE INTL,0,0,0,None,5/26/90 0:00,Tennessee,170.0,Approach,Day,Small,Unknown bird - small
UNITED AIRLINES,B-737-300,SACRAMENTO INTL,0,0,0,None,5/27/90 0:00,California,140.0,Approach,Day,Medium,Mallard
US AIRWAYS*,DC-9-30,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,0,0,0,None,5/27/90 0:00,Kentucky,180.0,Climb,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/27/90 0:00,Texas,170.0,Approach,Day,Small,American robin
TRANS WORLD AIRLINES,DC-9-10,LOUISVILLE INTL ARPT,0,0,0,None,5/29/90 0:00,Kentucky,130.0,Approach,Night,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/29/90 0:00,Louisiana,130.0,Take-off run,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/29/90 0:00,Louisiana,135.0,Take-off run,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,B-727-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/29/90 0:00,Illinois,160.0,Climb,Day,Small,European starling
SOUTHWEST AIRLINES,B-737-200,NEW ORLEANS INTL,0,0,0,None,5/30/90 0:00,Louisiana,130.0,Approach,Day,Small,Unknown bird - small
BUSINESS,GULFAERO IV,LAMBERT-ST LOUIS INTL,0,0,0,None,5/30/90 0:00,Missouri,140.0,Landing Roll,Day,Small,European starling
SOUTHWEST AIRLINES,B-737-300,LAMBERT-ST LOUIS INTL,0,0,0,None,5/31/90 0:00,Missouri,135.0,Approach,Day,Small,Unknown bird - small
UPS AIRLINES,DC-8,LOUISVILLE INTL ARPT,0,0,0,None,5/31/90 0:00,Kentucky,120.0,Take-off run,Day,Small,Unknown bird - small
MILITARY,B-52,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/1/90 0:00,Louisiana,146.0,Approach,Day,Medium,Unknown bird or bat
AMERICAN AIRLINES,DC-10,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/1/90 0:00,Texas,120.0,Landing Roll,Day,Small,European starling
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/4/90 0:00,Texas,210.0,Descent,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,WILL ROGERS WORLD ARPT,0,0,0,None,6/5/90 0:00,Oklahoma,180.0,Climb,Day,Small,Rock pigeon
SOUTHWEST AIRLINES,B-737-200,LAMBERT-ST LOUIS INTL,0,0,0,None,6/6/90 0:00,Missouri,210.0,Approach,Night,Small,Unknown bird - small
MILITARY,A-7,GREATER PITTSBURGH,0,0,0,None,6/7/90 0:00,Pennsylvania,120.0,Landing Roll,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/7/90 0:00,Louisiana,200.0,Take-off run,Day,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,CHICAGO O'HARE INTL ARPT,0,0,0,None,6/7/90 0:00,Illinois,210.0,Approach,Day,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737-200,METRO OAKLAND INTL,0,0,0,None,6/8/90 0:00,California,135.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727-200,NASHVILLE INTL,0,0,0,None,6/9/90 0:00,Tennessee,136.0,Approach,Day,Small,Unknown bird - small
PSA AIRLINES,BA-31 JETSTR,BALTIMORE WASH INTL,0,0,0,None,6/9/90 0:00,Maryland,130.0,Take-off run,Day,Small,Unknown bird - small
UNITED AIRLINES,B-727,GREATER PITTSBURGH,0,0,0,None,6/11/90 0:00,Pennsylvania,,Landing Roll,Day,Small,Unknown bird - small
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/12/90 0:00,Louisiana,150.0,Take-off run,Day,Medium,Unknown bird or bat
SOUTHWEST AIRLINES,B-737-300,WILL ROGERS WORLD ARPT,0,0,0,None,6/12/90 0:00,Oklahoma,135.0,Approach,Day,Small,Mourning dove
AMERICAN AIRLINES,DC-10-10,SAN ANTONIO INTL,0,0,0,None,6/14/90 0:00,Texas,250.0,Approach,Night,Medium,Unknown bird - medium
US AIRWAYS*,DC-9-30,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,0,0,0,None,6/14/90 0:00,Kentucky,120.0,Landing Roll,Day,Small,American robin
AMERICAN AIRLINES,B-727-100,NASHVILLE INTL,0,0,0,None,6/14/90 0:00,Tennessee,85.0,Landing Roll,Dusk,Small,American robin
SOUTHWEST AIRLINES,B-737-200,WILL ROGERS WORLD ARPT,0,0,0,Medium,6/17/90 0:00,Oklahoma,180.0,Climb,Night,Medium,Unknown bird - medium
AMERICA WEST AIRLINES,B-757-200,LOGAN INTL,48704,0,48704,None,6/18/90 0:00,Massachusetts,130.0,Approach,Dawn,Medium,Herring gull
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/19/90 0:00,Louisiana,130.0,Take-off run,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,GREATER PITTSBURGH,0,0,0,None,6/19/90 0:00,Pennsylvania,130.0,Approach,Day,Small,Unknown bird - small
UNITED AIRLINES,DC-8-70,SAN FRANCISCO INTL ARPT,0,0,0,None,6/20/90 0:00,California,140.0,Take-off run,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,ORLANDO INTL,0,0,0,None,6/21/90 0:00,Florida,140.0,Approach,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/22/90 0:00,Louisiana,150.0,Approach,Day,Medium,Unknown bird or bat
SOUTHWEST AIRLINES,B-737-300,HOUSTON-HOBBY,0,0,0,None,6/23/90 0:00,Texas,250.0,Approach,Day,Medium,Unknown bird - medium
CONTINENTAL AIRLINES,B-737,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,6/23/90 0:00,Ohio,110.0,Landing Roll,Day,Medium,American crow
PSA AIRLINES,BA-31 JETSTR,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,6/23/90 0:00,Ohio,100.0,Landing Roll,Day,Medium,American crow
AMERICAN AIRLINES,MD-80,MINETA SAN JOSE INTL,0,0,0,None,6/23/90 0:00,California,110.0,Take-off run,Dusk,Medium,Unknown bird - medium
UNKNOWN,B-727,PORT COLUMBUS INTL,0,0,0,None,6/23/90 0:00,Ohio,,Climb,Day,Small,Unknown bird - small
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/26/90 0:00,Louisiana,160.0,Climb,Night,Medium,Unknown bird or bat
UPS AIRLINES,MD-87,EPPLEY AIRFIELD,0,0,0,None,6/26/90 0:00,Nebraska,140.0,Approach,Day,Small,Unknown bird - small
GOVERNMENT,CV-580,ATLANTIC CITY INTL,0,0,0,None,6/27/90 0:00,New Jersey,40.0,Landing Roll,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,6/28/90 0:00,Illinois,130.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727-100,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/28/90 0:00,Texas,250.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,CHICAGO O'HARE INTL ARPT,0,0,0,None,6/30/90 0:00,Illinois,145.0,Landing Roll,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,7/1/90 0:00,Texas,140.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,DC-10-10,HONOLULU INTL ARPT,0,0,0,None,7/3/90 0:00,Hawaii,137.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,GEORGE BUSH INTERCONTINENTAL,0,0,0,None,7/3/90 0:00,Texas,140.0,Approach,Day,Small,Unknown bird - small
US AIRWAYS*,MD-80,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,7/5/90 0:00,North Carolina,125.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,CHARLESTON AFB/INTL ARPT,0,0,0,None,7/6/90 0:00,South Carolina,100.0,Take-off run,Day,Medium,Unknown bird - medium
UNITED AIRLINES,B-737-200,SACRAMENTO INTL,0,0,0,None,7/6/90 0:00,California,125.0,Approach,Day,Small,Unknown bird - small
UNITED AIRLINES,B-737,LOUISVILLE INTL ARPT,0,0,0,None,7/7/90 0:00,Kentucky,140.0,Take-off run,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-767,MINETA SAN JOSE INTL,0,0,0,Minor,7/8/90 0:00,California,140.0,Take-off run,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,SALT LAKE CITY INTL,0,0,0,None,7/8/90 0:00,Utah,,Approach,Day,Medium,Unknown bird - medium
US AIRWAYS*,FOKKER F100,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,7/8/90 0:00,North Carolina,134.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727,CHICAGO O'HARE INTL ARPT,0,0,0,None,7/8/90 0:00,Illinois,210.0,Climb,Day,Small,Unknown bird - small
NORTHWEST AIRLINES,DC-10,SEATTLE-TACOMA INTL,0,0,0,None,7/9/90 0:00,Washington,200.0,Climb,Day,Medium,Unknown bird - medium
UNITED AIRLINES,B-737,ATLANTA INTL,0,0,0,None,7/10/90 0:00,Georgia,,Approach,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,MEMPHIS INTL,0,0,0,None,7/10/90 0:00,Tennessee,130.0,Approach,Night,Small,Unknown bird - small
DELTA AIR LINES,B-727,SALT LAKE CITY INTL,0,0,0,Minor,7/11/90 0:00,Utah,350.0,Descent,Day,Large,Unknown bird - large
DELTA AIR LINES,B-767,ATLANTA INTL,0,0,0,None,7/11/90 0:00,Georgia,130.0,Landing Roll,Dawn,Small,European starling
TRANS WORLD AIRLINES,L-1011,SAN FRANCISCO INTL ARPT,0,0,0,None,7/11/90 0:00,California,,Approach,Day,Small,Unknown bird - small
BUSINESS,EMB-120,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,7/12/90 0:00,Ohio,130.0,Approach,Day,Small,American robin
ALOHA AIRLINES,B-737-300,LIHUE ARPT,0,0,0,Substantial,7/13/90 0:00,Hawaii,85.0,Take-off run,Dawn,Small,Short-eared owl
ALASKA AIRLINES,MD-80,LOS ANGELES INTL,0,0,0,None,7/13/90 0:00,California,125.0,Landing Roll,Day,Small,American kestrel
AMERICAN AIRLINES,MD-80,GREATER PITTSBURGH,0,0,0,None,7/15/90 0:00,Pennsylvania,160.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,NASHVILLE INTL,0,0,0,None,7/15/90 0:00,Tennessee,120.0,Landing Roll,Dusk,Small,Unknown bird - small
US AIRWAYS*,BA-146-200,METRO OAKLAND INTL,0,0,0,Minor,7/16/90 0:00,California,130.0,Climb,Dusk,Large,Canada goose
AMERICAN AIRLINES,MD-80,KANSAS CITY INTL,0,0,0,None,7/16/90 0:00,Missouri,140.0,Approach,Day,Small,Unknown bird - small
BUSINESS,B-727,ATLANTIC CITY INTL,0,0,0,None,7/16/90 0:00,New Jersey,120.0,Climb,Day,Small,Laughing gull
US AIRWAYS*,FOKKER F100,ATLANTIC CITY INTL,0,0,0,None,7/16/90 0:00,New Jersey,120.0,Climb,Day,Small,Laughing gull
AMERICAN AIRLINES,MD-82,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,7/17/90 0:00,Texas,130.0,Approach,Day,Small,Unknown bird - small
BUSINESS,B-727,ATLANTIC CITY INTL,0,0,0,None,7/17/90 0:00,New Jersey,,Take-off run,Day,Small,Laughing gull
AMERICAN AIRLINES,MD-80,GREATER PITTSBURGH,0,0,0,None,7/19/90 0:00,Pennsylvania,125.0,Take-off run,Day,Small,Unknown bird - small
TRANS WORLD AIRLINES,B-727,ATLANTA INTL,0,0,0,None,7/20/90 0:00,Georgia,190.0,Climb,Day,Medium,Unknown bird - medium
FEDEX EXPRESS,DC-10,NEWARK LIBERTY INTL ARPT,0,0,0,None,7/21/90 0:00,New Jersey,,Landing Roll,Day,Large,Unknown bird - large
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,7/22/90 0:00,Texas,140.0,Approach,Day,Small,Unknown bird - small
AMERICA WEST AIRLINES,B-737-300,KANSAS CITY INTL,0,0,0,None,7/23/90 0:00,Missouri,120.0,Landing Roll,Night,Medium,Unknown bird - medium
US AIRWAYS*,FOKKER F100,ATLANTIC CITY INTL,0,0,0,None,7/23/90 0:00,New Jersey,,Take-off run,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,CLEVELAND-HOPKINS INTL ARPT,0,0,0,Minor,7/23/90 0:00,Ohio,140.0,Climb,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-82,LAMBERT-ST LOUIS INTL,0,0,0,Minor,7/24/90 0:00,Missouri,220.0,Climb,Day,Small,Unknown bird - small
BUSINESS,HAWKER-SDLY HS125,LOUISVILLE INTL ARPT,0,0,0,None,7/25/90 0:00,Kentucky,120.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,7/26/90 0:00,Illinois,135.0,Approach,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-100,GEORGE BUSH INTERCONTINENTAL,0,0,0,None,7/26/90 0:00,Texas,130.0,Approach,Day,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737-300,HOUSTON-HOBBY,0,0,0,None,7/28/90 0:00,Texas,120.0,Take-off run,Day,Medium,Unknown bird - medium
UNKNOWN,PA-23-250,MINETA SAN JOSE INTL,0,0,0,None,7/29/90 0:00,California,100.0,Approach,Day,Medium,Unknown bird - medium
BUSINESS,DC-9,ATLANTIC CITY INTL,0,0,0,None,7/29/90 0:00,New Jersey,,Climb,Day,Small,Laughing gull
AMERICAN AIRLINES,MD-82,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,7/29/90 0:00,Texas,250.0,Climb,Day,Small,Unknown bird - small
UNITED AIRLINES,DC-8,PHILADELPHIA INTL,0,0,0,None,7/30/90 0:00,Pennsylvania,130.0,Approach,Day,Large,Canada goose
AMERICAN AIRLINES,MD-80,HOUSTON-HOBBY,0,0,0,None,7/30/90 0:00,Texas,128.0,Approach,Day,Small,Unknown bird - small
