id,name,parent,size
178,ClickControl,176.0,3824.0
179,Control,176.0,1353.0
180,ControlList,176.0,4665.0
181,DragControl,176.0,2649.0
182,ExpandControl,176.0,2832.0
183,HoverControl,176.0,4896.0
184,IControl,176.0,763.0
185,PanZoomControl,176.0,5222.0
186,SelectionControl,176.0,7862.0
187,TooltipControl,176.0,8435.0
188,data,169.0,
189,Data,188.0,20544.0
190,DataList,188.0,19788.0
191,DataSprite,188.0,10349.0
192,EdgeSprite,188.0,3301.0
193,NodeSprite,188.0,19382.0
194,render,188.0,
195,ArrowType,194.0,698.0
196,EdgeRenderer,194.0,5569.0
197,IRenderer,194.0,353.0
198,ShapeRenderer,194.0,2247.0
199,ScaleBinding,188.0,11275.0
200,Tree,188.0,7147.0
201,TreeBuilder,188.0,9930.0
202,events,169.0,
203,DataEvent,202.0,2313.0
204,SelectionEvent,202.0,1880.0
205,TooltipEvent,202.0,1701.0
206,VisualizationEvent,202.0,1117.0
207,legend,169.0,
208,Legend,207.0,20859.0
209,LegendItem,207.0,4614.0
210,LegendRange,207.0,10530.0
211,operator,169.0,
212,distortion,211.0,
213,BifocalDistortion,212.0,4461.0
214,Distortion,212.0,6314.0
215,FisheyeDistortion,212.0,3444.0
216,encoder,211.0,
217,ColorEncoder,216.0,3179.0
218,Encoder,216.0,4060.0
219,PropertyEncoder,216.0,4138.0
220,ShapeEncoder,216.0,1690.0
221,SizeEncoder,216.0,1830.0
222,filter,211.0,
223,FisheyeTreeFilter,222.0,5219.0
224,GraphDistanceFilter,222.0,3165.0
225,VisibilityFilter,222.0,3509.0
226,IOperator,211.0,1286.0
227,label,211.0,
228,Labeler,227.0,9956.0
229,RadialLabeler,227.0,3899.0
230,StackedAreaLabeler,227.0,3202.0
231,layout,211.0,
232,AxisLayout,231.0,6725.0
233,BundledEdgeRouter,231.0,3727.0
234,CircleLayout,231.0,9317.0
235,CirclePackingLayout,231.0,12003.0
236,DendrogramLayout,231.0,4853.0
237,ForceDirectedLayout,231.0,8411.0
238,IcicleTreeLayout,231.0,4864.0
239,IndentedTreeLayout,231.0,3174.0
240,Layout,231.0,7881.0
241,NodeLinkTreeLayout,231.0,12870.0
242,PieLayout,231.0,2728.0
243,RadialTreeLayout,231.0,12348.0
244,RandomLayout,231.0,870.0
245,StackedAreaLayout,231.0,9121.0
246,TreeMapLayout,231.0,9191.0
247,Operator,211.0,2490.0
248,OperatorList,211.0,5248.0
249,OperatorSequence,211.0,4190.0
250,OperatorSwitch,211.0,2581.0
251,SortOperator,211.0,2023.0
252,Visualization,169.0,16540.0
